159	sp|P06990|T1SB_ECOLX	35.794	447	271	5	4	436	19	463	4.31e-71	238
159	sp|P06187|T1S_SALTY	43.478	322	162	5	131	436	141	458	6.51e-69	232
159	sp|P05719|T1SK_ECOLI	48.013	302	140	8	145	436	159	453	5.28e-65	221
159	sp|P07990|T1S_SALPO	46.333	300	143	9	145	434	159	450	4.11e-57	200
159	sp|Q58926|Y1531_METJA	38.542	192	116	1	5	194	233	424	7.01e-33	133
159	sp|P06991|T1SD_ECOLX	54.331	127	58	0	310	436	307	433	1.89e-30	127
159	sp|P06991|T1SD_ECOLX	45.455	99	54	0	105	203	90	188	2.28e-17	88.2
162	sp|Q9V1E9|KTHY_PYRAB	39.073	151	76	5	3	138	4	153	3.10e-15	73.9
162	sp|B6YSZ4|KTHY_THEON	34.177	158	75	4	4	138	2	153	4.36e-12	65.5
162	sp|C6A0S1|KTHY_THESM	36.076	158	78	7	1	138	1	155	1.16e-11	64.3
168	sp|P08956|T1RK_ECOLI	40.701	1199	642	23	8	1171	5	1169	0.0	837
168	sp|Q07736|T1RA_ECOLX	27.735	649	338	29	271	878	23	581	3.85e-37	154
168	sp|Q47281|T1RE_ECOLX	28.205	624	322	29	255	846	8	537	1.88e-36	152
168	sp|Q4A127|HSDR_STAS1	23.214	392	236	10	310	683	120	464	1.93e-12	75.5
168	sp|Q5HJH8|HSDR_STAAC	23.677	359	209	11	310	649	120	432	3.99e-11	71.2
331	sp|Q06916|GUFA_MYXXA	43.802	242	136	0	71	312	13	254	2.32e-47	162
331	sp|Q3B4G1|ZUPT_CHLL3	34.016	244	148	6	72	304	17	258	6.79e-25	103
331	sp|Q8N1S5|S39AB_HUMAN	40.625	160	83	3	162	312	186	342	1.63e-23	101
331	sp|Q6P6S2|S39AB_RAT	40.000	160	84	3	162	312	179	335	2.02e-23	101
331	sp|Q2YDD4|S39AB_BOVIN	40.000	160	84	3	162	312	185	341	2.61e-23	101
331	sp|Q8NQK0|ZUPT_CORGL	35.968	253	144	7	67	306	10	257	1.82e-22	97.4
331	sp|Q8BWY7|S39AB_MOUSE	41.176	153	78	3	169	312	193	342	2.68e-22	98.6
331	sp|B3ECE6|ZUPT_CHLL2	34.000	250	146	10	71	306	16	260	5.33e-22	96.3
331	sp|Q28J44|S39AB_XENTR	39.623	159	84	3	163	312	181	336	1.08e-21	96.7
331	sp|A4SE48|ZUPT_CHLPM	35.484	248	139	9	72	304	17	258	1.57e-21	95.1
